ID,Full Name,Last Update,Accepted Content Types,Certificate or Labels,Closure Date,Contact,Description,Disciplinary Scope,Keywords,Launch Date,OAI-PMH URL,OpenDOAR ID,Platform,Platform Languages,Record Count,Repository Type,Service Pricing,Short Name,Status,Terms of Use,URL,Accessibility Of Conflict Of Interest Procedures,Business Model,Funding,Objectives,Owner Country,Owner Full Name,Owner Short Name,Owner URL,Ownership Type,Scientific/Technical Committees,User Committees,Access to content,Access to metadata,Account Creation,Backups,Functional Description,Interoperability,Metadata Format(s),Metadata Languages,Metadata Properties,Method For Re-use Of Metadata,Open Source?,Permission For Re-use Of Metadata,Persistence of Content,Preservation Policy,Academic Applicant Only,Accepted Content Formats,Accepted Content Languages,Accepted Content Level,Accepted Supplementary Content,Associated Editor,Associated Journal,Author PID,Availability of Associated Content,Journal Submission,Licensing,Mechanisms To Report Concerns About Content,Mechanisms To Report Concerns About Plagiarism,Moderation,Peer-review Status Indication,Persistent Identifier,Text Embargo,Time from submission to posting,Versioning Policy,Who Can Deposit?,Withdrawal Policy,Withdrawal Authorisation,Remining Indrawn Item,Editorial Notes,
core_repository,CORE repository,2022-02-11,,,,,CORE’s mission is to aggregate all open access research worldwide and deliver unrestricted access for all.,,,,,,,,,,,,,,https://core.ac.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corporate_governance_network,Corporate Governance Network,2022-02-11,,,,,"Because the scope of local, national, and international commerce is so vast, the study of corporate governance encompasses everything from the organization of family firms to the management of multinational corporations.",,,,,,,,,,,,,,https://www.ssrn.com/index.cfm/en/cgn/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Editor platform (SSRN so Elsevier),
crimrriv,CrimRriv,2022-02-11,"Postprints (i.e., Author Accepted Manuscripts), Preprints, Working Papers, & Grey Lit.",None,,crimrxiv@criminologyopen.com,"CrimRxiv is criminology's open archive: a place to find and provide free information, knowledge, and understanding.","Criminology (the scientific or humanistic study of lawmaking, lawbreaking, and reacting to that)","Criminology, Pubpub",2020-07-01,,,,English,Full text : 83,Disciplinary,None,,Open,Yes,https://www.crimrxiv.com/,No,Nonprofit,,Criminology Open (Ltd) is nonprofit organization based in Atlanta. Our mission is to increase the quality and quantity of free information and knowledge pertinent to the study of crime and control.,The United States of America,Criminology Open,,https://www.criminologyopen.com/,Individual or community,Yes : includes researchers ,Yes : Board of Ambassadors ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,Yes via a tutorial (written and video),No,,English,"Title, Author(s), Contributor(s), Identifier, Published on,",,Yes,,,,No,"For the text editor you can import those formats : .docx, .epub, .html, .md, .odt, .txt, .xml, or .tex. Or you can import Word or PDF file. The text is displayed in HTML",Any language,Research and scholary content,"In a preprint you can include videos, audio clips, images, datasets, code files, interactive graphics, whatever.",No,No,No,"Later, you will be able to share other criminological outputs, such as reviews, data, code, presentations, and educational materials. Codes can be shared via Github",Unrestricted,Authors must use CC BY NC or CC BY ND licences,Director (Administrator),Director (Administrator),"Beforehand : We are developing a moderation policy that concretely specifies what is in scope and, thus, what will be published. Currently, publication is at the discretion of the director.",Yes,DOI,"No, only if the publisher imposes an embargo period",Up to 2 business days,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,No,,,,
crossasia_repository,CrossAsia-Repository,2022-02-11,"Master's theses, theses, dissertations and theses for qualification as university teacher, Grey literatureArticles, books, festschrifts, book chapters, complete journal issues, preprints, postprints",None,,Emails available on this page,"CrossAsia-Repository, the full-text server of the Virtual Library CrossAsia is the platform for publishing and archiving research literature in Asian Studies. Academics from all over the world are offered the possibility to publish their research on all fields of Asian Studies free of charge and without access limitation.",Asian Studies,"Asian Studies, Repository",2006,http://crossasia-repository.ub.uni-heidelberg.de/cgi/oai2,X,eprints,English and German,Full text : 4 341,Disciplinary,None,Xasia,Open,Yes,http://crossasia-repository.ub.uni-heidelberg.de/?source_opus=&la=en,No,Nonprofit,Internal funding,"Firmly rooted in its history, the University is committed to expanding and disseminating our knowledge about all aspects of humanity and nature through research and education. The University upholds the principle of freedom of research and education, acknowledging its responsibility to humanity, society, and nature.",Germany,Heidelberg University Library,,https://www.ub.uni-heidelberg.de/,Academic institution, , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,No,Yes via API,No,English and German,"Title, Author(s), Document type, Version, Date Deposited, Faculties / Institute, Subject, Countries/Regions",Openly available via API,Yes,,"Yes : Efforts will be undertaken to store documents permanently, currently a limited warranty of 5 years is guaranteed",,No,"PDF, PostScript or HTML",Preferably in German and English,Research or scholary content,,No,No,No,,Unrestricted,"Authors are provided with a choice of licenses: CC BY, CC BY-NC, CC BY-NC-ND",,No,,No,DOI or URN,"No, only if the publisher imposes an embargo period",,Accepts new version.,"To publish your documents on CrossAsia-Repository, please contact the CrossAsia-Repository team",,,,,
cryptology_eprint_archive,Cryptology ePrint Archive,2022-02-11,"Reports and Working Papers, Preprints",None,,eprint-admin@iacr.org,The Cryptology ePrint Archive provides rapid access to recent research in cryptology. Papers have been placed here by the authors and did not undergo any refereeing process other than verifying that the work seems to be within the scope of cryptology and meets some minimal acceptance criteria and publishing conditions.,"Cryptology, Computer Science , Mathematics and Statistics","Cryptology, archive",2000,,X,open_science_framework,English,Full text : 16 700,Disciplinary,None,,Open,Yes,https://eprint.iacr.org/,"Yes, conflict-of-interest policy of the IACR.",Nonprofit,Internal funding,The International Association for Cryptologic Research (IACR) is a non-profit scientific organization whose purpose is to further research in cryptology and related fields.,The United States of America,The International Association for Cryptologic Research,IACR,https://www.iacr.org/,Scientific Organisation,"Editors, appointed by the IACR. ","No user committee, but governed by the IACR through its Board of Directors. ",Anyone may access full items free of charge,Anyone may access the metadata free of charge,No user account needed.,Yes,No,No,No,English,"Title, Author(s), Keywords, Date, Contact Author, Available format(s), Version, Short URL",Free,Yes,None,,Yes,Yes,PDF,English,Research only,,No,No,No,,Unrestricted,CC BY-NC (creative commons attribution-noncommercial) license,Email administrator,"Yes, manual process by the editors.",Beforehand : relevance to the scope of the repository is checked,No,Short URL,"No, only if the publisher imposes an embargo period",Some days.,"If necessary, an updated version may be deposited, and history is kept",Accredited Community Members only,Yes,Items may be removed by the platform at the request of the author/copyright holder,Withdrawn items are not deleted but are removed from public view,,
dash,DASH (Digital Access to Scholarship Harvard),2022-02-11,,,,,"The Office for Scholarly Communication (OSC) operates the DASH repository as an effort to provide the broadest possible access to Harvard's scholarship. DASH hosts a wide range of Harvard-affiliated scholarly works, including pre- and post-refereed journal articles, conference proceedings, theses and dissertations, working papers, and reports.",,,,http://dash.harvard.edu/oai/request,X,,,,,,,,,https://dash.harvard.edu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dspace_at_mit,Dspace @ MIT,2022-02-11,"Journal articles, theses and Dissertations, Reports and Working Papers, Learning Objects, Preprints, some data",None,,dspace-lib@mit.edu,"DSpace@MIT is a digital repository for MIT's research, including peer-reviewed articles, technical reports, working papers, theses, and more.",All MIT research disciplines,"MIT, Repository, long-term storage",2002,http://dspace.mit.edu/oai/request,X,dspace,English,Full text : 115 333,Institutional multidisciplinary,None,,Open,Yes,http://dspace.mit.edu/,"Yes, look for polices",Nonprofit,Internal funding,"Our vision? A world where more people have access to knowledge and more voices are heard. Where tools and solutions can be networked, shared, and “hacked.” Where knowledge not only provides answers, but empowers and inspires. We think libraries can help build this world.",The United States of America,Massachusetts Institute of Technology,MIT,http://web.mit.edu/,Academic institution,No ,No ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,"Free, only for MIT student, scientists or institutes linked to MIT",,"Yes via Q&A, see : https://libguides.mit.edu/c.php?g=176372&p=1158910",API,"Yes, Dublin Core is available",English,"Title, Authors, Journal, URI, Abstract, Sponsorship, Rights, Type, Citation, Department, Status","Free, via UI and API",Yes,None,Yes : Maintain by Dspace,,No,"marc, mrc, ma, doc, pdf, ps, eps, ai, sgm, sgml, xls, ppt, mpp, mpx, mpd, vsd, dvi, fm, latex, psd, pdd, tex, aiff, aif, aifc, au, snd, mpa, abs, mpeg, ra, ram, wav, gif, jpeg, jpg, png, tiff, tif, bmp, pcd, html, htm, txt, rtf, xml, mpeg, mpg, mpe, mv, qt, sas, SAS, SPSS, Stata, R, csv, tab",Any language,Academic / Research but also open to educators,"We accept all file formats and most forms of research output, limited mainly by file size, rather than by type of content. Through preprint metadata, we can links to associated content that is stored either in another DSpace collection or in an external system.",No,No,ORCID,MIT provides help to supports data management,Unrestricted,"All content considered in copyright of the authors with all rights reserved, unless otherwise stated in the item metadata. Various versions of  Creative Commons licenses are common.",Email administrator,Email administrator,Beforehand or None depending on the collection,"For items in the Open Access Articles collection, we post the manuscript version with a defintion of those version that indicates which ones are peer reviewed and which ones aren't. Most of the content in that collection is peer reviewed. Other collections typically don't notify users of the peer-review status.",URI : Handle System,"No, only if the publisher imposes an embargo period",Varies widely,"About to deploy new functionality to allow versioning of an item, which will replace the older version in the search index, but provide a version history with links to the all versions of the metadata and files","The work must be produced, submitted or sponsored by MIT faculty.",Yes,Author or platform,URLs will continue to point to 'tombstone' citations. URLs will contain a note explaining the reasons for withdrawal,,
e_lis,E-lis,2022-02-11,"Journal Articles, Bibliographic References, Conference and Workshop Papers, Theses and Dissertations, Reports and Working Papers, Books, Chapters and Sections, Datasets, Learning Objects, Preprints",None,,elis.repository@gmail.com,"Established in 2003, e-LIS is an international digital repository for Library and Information Science (LIS), including Communication.",Library and Information Science (including Communication),"Library, Information Science, LIS, Communication",2003-01-01,http://eprints.rclis.org/cgi/oai2,X,,English,Full text : 23 091,Disciplinary,None,E-LIS,Open,Yes,http://eprints.rclis.org/,No,Nonprofit,"E-LIS has received small funds from the Spanish Ministry of Education, but there is no regular funding of any kind from any institution or state.","The objectives of E-LIS are: to improve knowledge of the building and management of open archives working practically in the field within the framework of Open Digital Libraries; not only to promote open archives in various disciplinary environments, but also to create a valid and credible model in the Library and Information Science discipline for the building of a global LIS archive; to establish a base for communal work between librarians information technology professionals, and to enhance the Open Access movement",Italy,E-LIS Governance,,http://eprints.rclis.org/information.html#1,Team of volunteer editors,Yes : 3 people manage the Administrative Board supported by a restrict Executive Board with specific competencies and a editorial board composed by 73 librarians and information scientists from 47 countries and support for 22 languages ,Yes : 3 people manage the Administrative Board supported by a restrict Executive Board with specific competencies and a editorial board composed by 73 librarians and information scientists from 47 countries and support 22 languages ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,Yes : help tab,Yes via API,Yes : Formats are available on this page,English abstract always present in addition to the language of the paper,"Title, Author(s), Abstract, Item type, Keywords, Subjects, Depositing user, Date deposited, Last modified, URI",Openly available on article page and via API,Yes,None,,,No,"PDF, HTML, doc, ppt, xls, txt (but PDF and HTML are preferred)",Any language - abstracts and keywords must be included in English,Research or scholary content,Dataset are associated by link to Zenodo (E-LIS Community),No,No,No. But we can use a field inside author metadata with ORCID,Dataset are associated by link to Zenodo (E-LIS Community https://zenodo.org/communities/elis_data/?page=1&size=20),Unrestricted,"When you submit a preprint to an e-prints server, you retain copyright. Texts that an author has himself written are his own intellectual property.",,No,"The eligibility of authors/depositors, valid layout and format, metadata quality of the document and is allowed to make changes if the metadata are incorrect.",No,URI,"No, only if the publisher imposes an embargo period",2 business days,Accepts new version. All version are archieved,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,"Yes, with conditions",Admin Board consider the case.,Bibliopraphic metatada remaining in the server with document but inside in the dark side of repository,Powered by OSF preprint,
earth_prints_repository,Earth-prints Repository,2022-02-11,"Articles, working papers, preprints, technical reports, conference papers and data sets in various digital formats.",None,,Contact form,"Earth-Prints is an open archive created and maintained by Istituto Nazionale di Geofisica e Vulcanologia. This digital collection allows users to browse, search and access manuscripts, journal articles, theses, conference materials, books, book-chapters, web products.",Earth and Planetary Sciences,"Earth, Atmosphere, Cryosphere, Hydrosphere and Solid Earth",,http://www.earth-prints.org/oai/request,X,eprints,English,Full text : 12 250,Disciplinary,None,,Open,Yes,https://www.earth-prints.org/,No,Nonprofit,Internal funding,,Italy,Istituto Nazionale di Geofisica e Vulcanologia,INGV,http://www.ingv.it,Research institute, , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,Yes via a tutorial on the front page (Help tab),Yes via API,No,English,"Title, Author(s), Date of Issue, Identifiers, Type, Language, Abstract, Sponsors, Keywords",,Yes,Metada should be protected by Licence Creative Commons,,,No,All supported formats are available on this page,"All languages are supported, but English title and abstract are mandatory",Research or scholary content,"Files can be associated on the same page as the preprint ( PDF/JPG/TIFF/WORD/LATEX/AV). For higher speed and system efficiency we suggest to keep size files as much reduced as possible, though maintaining a sufficient readibility, but not exceeding 10MB of total space used.",No,No,No,Material associated with preprint is hosted also by the platform,Unrestricted,Non-exclusive distribution license,,No,"Beforehand : Content within scope, Complete Metadata, the eligibility of authors/depositors",Yes,Persistent URL,"No, only if the publisher imposes an embargo period",,Accepts new version (replace the older),Accredited Community Members,Yes,Platform,,,
eartharxiv,EarthArXiv,2022-02-11,"Multiple article types (including research manuscripts, review papers, case studies, technical notes, dataset description papers), Preprints",None,,admin@eartharxiv.org,"EarthArXiv has officially agreed to partner with the California Digital Library (part of the University of California system) as our server host and submission platform using a system called Janeway (developed at Birkbeck, University of London).",Earth Science including geochemistry,"Earth Science, CDL, Janeway, Geology, Planetary Space Science",2017-10-23,,X,digital_commons,English,Full text: 2 300,Disciplinary,None,,Open,Yes,https://eartharxiv.org/,Yes : Author Responsibilities,Nonprofit,University of California,Open up preprint opportunities for all of the Earth Sciences,,"California Digital Library controls the infrastructure, governance is conducted by a volunteer Advisory Council containing 15 members each having 2 year terms",CDL,https://cdlib.org/,Public,Yes : The commitee include researchers This commitee will serve a 2-year term,Open Loomio Community for all interested public volunteers to provide ideas and feedback. ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,No,Yes via API,No,English,"Title, Identifier (e.g.
DOI),
Publication/deposition
date, Author name(s),
Abstract, License
type(s), Subject
category",Openly available via API,Yes,,Yes: content is preserved in the University of California's Merritt repository <https://merritt.cdlib.org/>,Yes,Yes,PDF,English,Research only,URLs to associated files,No,No,ORCID,"EarthArXiv encourages authors to use free hosting sites such as GitHub, Zenodo, FigShare, and others.",Unrestricted,"Authors are provided with a choice of licenses: CC BY Attribution 4.0 International, CC0 1.0 Universal",Email administrator,Email administrator,"Beforehand : Content within scope, Text overlap detection, Manuscript is complete (methods, references)",Yes,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",Up to 1 week,Accepts new version (replace the older),Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Platform,Basic information remains on a tombstone page,Seems to be Powered by OSF preprint,
easychair_preprints,EasyChair preprints,2022-02-11,"Journal articles, Preprints, Poster and Presentations",None,,,EasyChair Preprints allow our users to publish preprints using the EasyChair environment.,All scientific fields,EasyChair,2017-10-14,,,,English,,Multidisciplinary,None,,Open,No,https://easychair.org/publications/preprints,Yes : EasyChair supports the code of conduct and best practices guidelines as set out by COPE (committee on publication ethics).,Nonprofit,Internal funding,,United Kingdom,EasyChair Group,,https://www.easychair.org/,Tech company, , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,No,No,No,English,"Title, Author(s), Pages, Date, Abstract, Identifier, Keyphrases",,No,,,,Yes,"LaTeX, Word Doc",English,Research only,No,No,No,No,,Unrestricted,Authors must use  CC BY-NC-ND 4.0 license,,No,"Beforehand : EasyChair will check that you use the right style, extract some information from your paper",No,No,"No, only if the publisher imposes an embargo period",,,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,No,,,,
ecoevorxiv,EcoEvoRxiv,2022-02-11,"Journal Articles, Conference and Workshop Papers, review papers, Preprints",None,,contact+evoecorxiv@osf.io,"Information about a free preprint service for ecology, evolution and conservation.","Ecology, evolution and conservation related subjects","Ecology, evolution and conservation, OSF",2018-11-01,,X,,English,Full text : 525,Disciplinary,None,,Open,Yes,https://www.ecoevorxiv.com/,No,Nonprofit,Community operators pay a fee based on usage and COS subsidizes the other portion through fundraised support,TEE (Transparency in Ecology and Evolution) was established to educate and advocate for greater transparency in ecology and evolution (and conservation too). It was started around 2015 by a group of concerned researchers who thought that not enough was done in this matter.,The United States of America,Transparency in Ecology and Evolution,TEE,http://www.ecoevotransparency.org/,Academic community group,"Yes : The Committee is made up of academics involved in ecological, evolutionary and conservation research who created and support the EcoEvoRxiv repository. ",Yes : they are called ambassadors. Graduate students and early career researchers who champion and promote the EcoEvoRxiv repository at their institutions and internationally. ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,No,,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, License type(s), Subject category",Openly available via API,Yes,,Yes : COS Preservation Fund to maintain read access for 50+ years,,Yes,PDF,English,Primary and secondary research,,No,No,ORCID,,Unrestricted,"Authors are provided with a choice of licenses: CC BY Attribution-ShareAlike 4.0 International, CC BY Attribution-NonCommercial-NoDerivatives 4.0 International, CC BY Attribution 4.0 International, CC0 1.0 Universal, CC BY Attribution-ShareAlike 4.0 International, CC BY Attribution-NonCommercial-NoDerivatives 4.0 Internationa",Email administrator,Email administrator,"Beforehand : Text overlap detection, Misconduct or integrity checks, Legal compliance, Ethical compliance",No,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",Up to 48 hours,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Platform. At author's request with moderator approval,Basic information remains on a tombstone page,Powered by OSF preprint,
econstor,ECONSTOR,2022-02-11,"Article, Book Chapter, Working Paper/Preprint, Conference Paper, Doctoral Thesis, Book, Research Report, Proceedings, Book Review",Open Science,,econstor-publish@zbw.eu,EconStor can help you to disseminate your publications in Economics and Business Studies visibly and effectively.,Economics and business administration,"Economics, Business, Scholarly Publications",2009,https://www.econstor.eu/oai/request,X,,English and German,Full text :  212 106,Disciplinary,None,,Open,Yes,https://www.econstor.eu/,No,Nonprofit,ZBW is financed as a public information infrastructure.,Increasing the visibility of scholarly publications,Germany,ZBW - Leibniz Information Centre for Economics,ZBW,http://www.zbw.eu/,Research infrastructure,No ,No ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,Daily data backup on internal drives.,"Yes.
FAQs: https://www.econstor.eu/faq
Policy: https://www.econstor.eu/policy ",Yes via API,Yes:  “Dublin Core”and the RePEc format “ReDIF”,"Same as for the article (English, German, Spanish, etc.)","Title, Identifier, Abstract, Author(s), Year of Publication, Citation, Subjects, Document Version, Document Type, Creative Commons Licence, Terms of Use",Openly available via API,Yes,None,The long-term preservation of digital documents is guaranteed within the framework of the Goportis cooperation with the TIB (Hanover) and ZBMED (Cologne/Bonn).,Long-term preservation is ensured,Yes,PDF,"English, German and other languages by exception",Research only,"Additional upload of supplementary material is accepted: Datasets, tables, graphics, text. The information is not recorded in crossref.",No,No,No,,Unrestricted,"When self-archiving their publications, authors transfer rights by agreeing to the ""EconStor Deposit Licence"" during the upload process. The copyright to the submitted work will remain with the author(s)",Email,No,Is the sole responsibility of the depositor. Any copyright violations are entirely the responsibility of the authors/depositors.,No,HDL Identifier” from the Handle.Net Registry as a so-called “Persistent Identifier” to ensure permanently working URLs,"No, only if the publisher imposes an embargo period",A few days,Accepts new version,Accredited Community Members or Employees of Econstor (check for partner institutions here : https://www.econstor.eu/community-list) and single accredited authors (Self-Archiving),Yes,At the author's or another authorised person's request,"In order to maintain stable linking, only the PDF full-text will be removed; the corresponding bibliographic record will remain on EconStor.",,
ecsarxiv,ECSarXiv,2022-02-11,"Journal articles, slide presentations, datasets, software, Preprints",None,,contact+ecsarxiv@osf.io,A free preprint service for electrochemistry and solid state science and technology.,Electrochemistry and Solid State Science,"Electrochemistry, OSF",2018-05-01,,,,English,Full text : 192,Disciplinary,None,,Open,Yes,https://ecsarxiv.org/,No,Nonprofit,Community operators pay a fee based on usage and COS subsidizes the other portion through fundraised support,"ECSarXiv is part of the greater ECS Free the Science initiative, which is a long-term vision to make our research freely available to all readers, while remaining free for authors to publish. It is a new model for ECS, one of the last independent, nonprofit scientific society publishers.",The United States of America,The Electrochemical Society,ECS,https://www.electrochem.org/,Scientific society,Yes : includes researchers , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,No,,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), License type(s), Subject category",Openly available via API,Yes,None,COS Preservation Fund to maintain read access for 50+ years,,Yes,Any format supported by OSF platform (PDF preferred),English,Research and Scholary content,"full text, figures, data, image, coding, analyses. This is associated with the article via a specific link",No,No,ORCID,,Unrestricted,"Authors are provided with a choice of licenses: CC BY Attribution 4.0 International, CC0 1.0 Universal, CC BY Attribution-ShareAlike 4.0 International, CC BY Attribution-NonCommercial-NoDerivatives 4.0 International; with no preference for which license chosen",Email administrator,Email administrator,"Beforehand : Legal compliance, Ethical compliance, Akismet spam filtering (automatic on all OSF content), Content within scope",No,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",Up to 48h,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,At author's request with moderator approval,Basic information remains on a tombstone page,Powered by OSF preprint,
edarxiv,EdArXiv,2022-02-11,"Journal articles, working papers, conference material, Preprints",None,,contact+edarxiv@osf.io,A Preprint Server For The Education Research Community,Relating to education research,"Education, Social Sciences, OSF",2019-06-01,,,,English,Full text : 793,Disciplinary,None,,Open,Yes,https://edarxiv.org/,No,Nonprofit,Community operators pay a fee based on usage and COS subsidizes the other portion through fundraised support,,The United States of America,Center for Open Science,COS,https://www.cos.io/,Individual or community,Yes : includes researchers , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,No,Yes via API,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Author affiliation(s), License type(s)",Openly available via API,Yes,,Yes : COS Preservation Fund to maintain read access for 50+ years,,Yes,"PDF, Word doc",Any language,Research only,"full text, figures, data, image, coding, analyses. This is associated with the article via a specific link",No,No,ORCID,,Unrestricted,"No license, GNU Lesser General Public License (LGPL) 3.0, GNU Lesser General Public License (LGPL) 2.1, CC-By Attribution 4.0 International, Artistic License 2.0, CC0 1.0 Universal, BSD 3-Clause ""New""/""Revised"" License, BSD 2-Clause ""Simplified"" License, Apache License 2.0, CC-By Attribution-ShareAlike 4.0 International, CC-By Attribution-NonCommercial-NoDerivatives 4.0 International, Academic Free License (AFL) 3.0, Eclipse Public License 1.0, Mozilla Public License 2.0, MIT License, GNU General Public License (GPL) 3.0, GNU General Public License (GPL) 2.0",Email administrator,Email administrator,"Beforehand : Akismet spam filtering (automatic on all OSF content) , Content within scope. Conflict of Interest, Data, code availability, Preregistration availability, All authors consent to posting",No,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Platform,Basic information remains on a tombstone page,Powered by OSF preprint,
egusphere,EGUsphere,2022-02-11,,,,,"EGUsphere, the not-for-profit scientific repository of the European Geosciences Union (EGU), is envisioned to bring together all preprints submitted to the EGU in the domain of Earth, Space, and Planetary sciences in a diverse, inclusive, and systematic collection of contributions submitted to EGU events and publications.",,,,,,,,,,,,,,https://www.egusphere.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU-wide directory,
electronic_colloquium_on_computational_complexity,Electronic Colloquium on Computational Complexity,2022-02-11,,,,,"The Electronic Colloquium on Computational Complexity (ECCC) is a forum for the rapid and widespread interchange of ideas, techniques, and research in computational complexity. The ECCC welcomes papers, short notes, and surveys.",,,,,,,,,,,,,,https://eccc.weizmann.ac.il/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It's more of a forum than a directory after all,
english_and_american_literature_research_network,English & American Literature Research Network,2022-02-11,,,,,"The English & American Literature Research Network (LIT) indexes scholarly works on historical and contemporary literature, addressing emerging areas of concern such as post-colonial studies and disability studies. The network features works of literary analysis, cultural and historical analysis (as revealed through literature), and other works related to the impact of the written and verbal arts on society.",,,,,,,,,,,,,,https://www.ssrn.com/index.cfm/en/lit/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Editor platform (SSRN so Elsevier),
engrxiv,engrxiv,2022-02-11,"Journal Articles, Preprints",None,,info@engrxiv.org.,The open archive of engineering,"Civil Engineering, Computers and IT, Electrical and Electronic Engineering, Mechanical Engineering and Materials","Engineering, IT, Computers, OSF",2016-07-01,,X,open_science_framework,English,Full text : 1 721,Disciplinary,None,,Open,Yes,https://engrxiv.org/,No,Nonprofit,Community operators pay a fee based on usage and COS subsidizes the other portion through fundraised support,"Engineering Archive is partnered with the Center for Open Science to build a free, open access, open source archive for engineering research and design. The initiative responds to growing recognition of the need for faster, open sharing of research and design on a truly open access platform for all engineering disciplines.",The United States of America,Open Engineering Inc,,https://www.openengr.com,Open access scientific journal,Yes : engrXiv is directed by a steering committee of engineers ,engrXiv is directed by a steering committee of members of the engineering librarian community ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,No,,No,English,"Title, Identifier (e.g. DOI), Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), License type(s), Subject category",Openly available via API,Yes,,Yes : COS Preservation Fund to maintain read access for 50+ years,,Yes,"PDF, Word doc, LaTeX","Any language - English preferred, title and abstract must be in English, nonEnglish translations can be submitted as versions",Research only,"full text, figures, data, image, coding, analyses. This is associated with the article via a specific link",No,No,ORCID,,Unrestricted,"Authors are provided with a choice of licenses:  CC BY, CC BY-SA, CC BY-NC-SA, or CC0",Email administrator; helpdesk support from COS,Email administrator; helpdesk support from COS,"Beforehand : Akismet spam filtering (automatic on all OSF content), Content within scope , Legal compliance, Conflict of Interest, Data, code availability, Preregistration availability, All authors consent to posting",Yes,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",A few days,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,At author's request with moderator approval,Basic information remains on a tombstone page,Powered by OSF preprint,
